Vardas Pavardė,Pareigos,Laikotarpis,Ar išbuvo visą kadenciją?,Nuotraukos pavadinimas,Darinys
Klėja Merčaitytė,Prezidentė,2025-05 – 2026-05,,kleja-mercaityte.jpg,Centrinis biuras
Samanta Valiušaitytė,Biuro vadovė,2025-06 – 2026-06,,,Centrinis biuras
Eivinas Zableckas,Atstovas ryšiams su visuomene,2025-06 – 2026-06,,,Centrinis biuras
Vismantas Daujotas,Administratorius ir LSP koordinatorius,2025-06 – 2026-06,,,Centrinis biuras
Povilas Virbašius,Akademinio proceso reikalų koordinatorius,2025-06 – 2026-06,,,Centrinis biuras
Kotryna Jašauskaitė,Socialinio proceso reikalų koordinatorė,2025-06 – 2026-06,,,Centrinis biuras
Idas Jasaitis,Organizacinės srities koordinatorius,2025-06 – 2025-06,Ne,,Centrinis biuras
Maja Kynaitė,Organizacinės srities koordinatorė,2025-07 – 2026-06,,,Centrinis biuras
Emilis Mikulskis,Atstovų koordinatorius,2025-06 – 2026-06,,,Centrinis biuras
Austėja Bendikaitė,Atstovų koordinatorė,2025-06 – 2026-06,,,Centrinis biuras
Roberta Kirkliauskaitė,Integracijos proceso koordinatorė,2025-06 – 2025-06,Ne,,Centrinis biuras
Kornelija Kairytė,Integracijos proceso koordinatorė,2025-07 – 2026-06,,,Centrinis biuras
Lukas Jakonis,Planavimo proceso koordinatorius,2025-06 – 2026-06,,,Centrinis biuras
Austėja Ižganaitė,Studentų (-čių) iniciatyvų koordinatorė,2025-09 – 2026-06,,,Centrinis biuras
Agnė Dirmantaitė,Marketingo srities koordinatorius,2025-06 – 2026-06,,,Centrinis biuras
Akvilė Duoblytė,Komunikacijos koordinatorė,2025-06 – 2025-06,Ne,,Centrinis biuras
Neringa Baliukevičiūtė,Komunikacijos koordinatorė,2025-09 – 2026-06,,,Centrinis biuras
Ieva Rimkevičiūtė,Komunikacijos koordinatorė,2025-09 – 2026-03,Ne,,Centrinis biuras
Uršulė Barkauskaitė,Tarptautinių studentų (-čių) reikalų koordinatorė,2025-06 – 2026-06,,,Centrinis biuras
Martynas Matijošius,Informacinių technologijų koordinatorius,2025-06 – 2026-06,,,Centrinis biuras
Klėja Merčaitytė,Prezidentė,2025-05 – 2026-05,,,VU SA Parlamentas
Rokas Urbonas,VU SA CHGF pirmininkas,2025-05 – 2026-05,,,VU SA Parlamentas
Tomas Verbickas​,VU SA CHGF atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Laurynas Cicėnas,VU SA CHGF atstovas VU SA Parlamente,2025-05 – 2025-09,,,VU SA Parlamentas
Goda Bukelytė,VU SA CHGF atstovė VU SA Parlamente,2025-09 – 2026-05,,,VU SA Parlamentas
Miglė Gutauskaitė,VU SA EVAF pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Meda Kniežaitė,VU SA EVAF atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Lina Adomavičiūtė,VU SA EVAF atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Tadas Lekšas,VU SA FF pirmininkas,2025-05 – 2026-05,,,VU SA Parlamentas
Aleksandras Trakas,VU SA FF atstovas VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Austėja Kriškanaitė,VU SA FF atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Gabija Smailytė,VU SA FilF pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Rugilė Zastarskytė,VU SA FilF atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Sofija Vozniuk,VU SA FilF atstovė VU SA Parlamente,2025-05 – 2025-11,,,VU SA Parlamentas
Anelija Slabenko,VU SA FilF atstovė VU SA Parlamente,2025-12 – 2026-05,,,VU SA Parlamentas
Austėja Pupelytė,VU SA FsF Pirmininkė,2025-05 – 2026-05,,,VU SA Parlamentas
Aleksandra Vaskevičiūtė,VU SA FsF atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
Daniela Aželskaitė​,VU SA FsF atstovė VU SA Parlamente,2025-05 – 2026-05,,,VU SA Parlamentas
